config,path,solver,ode_steps,tau,seed,n_steps,elbo,kl,elbo_mc_stderr,ms_per_step,cumulative_train_s
Score Function,,,,,2,200,-1.0717620849609375,1.0717620849609375,0.05441156029701233,2.943820835207589,0.5887641670415178
Score Function,,,,,2,400,-0.2272782325744629,0.2272782325744629,0.010160194709897041,2.8790179174393415,1.1516071669757366
Score Function,,,,,2,800,-0.11305594444274902,0.11305594444274902,0.006035661790519953,2.8268793238385115,2.261503459070809
Score Function,,,,,2,1600,-0.07512034475803375,0.07512034475803375,0.0040990207344293594,2.80672947941639,4.490767167066224
Score Function,,,,,2,3200,-0.05269869416952133,0.05269869416952133,0.0032985853031277657,2.868627578136511,9.179608250036836
Score Function,,,,,1,200,-0.9915902614593506,0.9915902614593506,0.04647247493267059,2.955250414670445,0.591050082934089
Score Function,,,,,1,400,-0.29944008588790894,0.29944008588790894,0.008949500508606434,2.857617082481738,1.1430468329926953
Score Function,,,,,1,800,-0.09149458259344101,0.09149458259344101,0.004033172503113747,2.837344635045156,2.2698757080361247
Score Function,,,,,1,1600,-0.05424566566944122,0.05424566566944122,0.0029186697211116552,2.815332004975062,4.504531207960099
Score Function,,,,,1,3200,-0.047208063304424286,0.047208063304424286,0.0023997495882213116,2.884788723749807,9.231323915999383
Score Function,,,,,3,200,-0.8976025581359863,0.8976025581359863,0.040791526436805725,2.7533274999586865,0.5506654999917373
Score Function,,,,,3,400,-0.31994950771331787,0.31994950771331787,0.011270122602581978,2.701510729966685,1.080604291986674
Score Function,,,,,3,800,-0.16763919591903687,0.16763919591903687,0.005695141851902008,2.6747337498818524,2.139786999905482
Score Function,,,,,3,1600,-0.035426679998636246,0.035426679998636246,0.0025721704587340355,2.670133749998058,4.272213999996893
Score Function,,,,,3,3200,-0.03808312863111496,0.03808312863111496,0.002374151488766074,2.7147765624977183,8.687284999992698
Straight-Through (annealed),,,,,1,200,-0.8343043923377991,0.8343043923377991,0.045489683747291565,3.2142741698771715,0.6428548339754343
Straight-Through (annealed),,,,,1,400,-0.2236313372850418,0.2236313372850418,0.006659588310867548,3.1945569801609963,1.2778227920643985
Straight-Through (annealed),,,,,1,800,-0.1312994807958603,0.1312994807958603,0.004694307688623667,3.158911302452907,2.5271290419623256
Straight-Through (annealed),,,,,1,1600,-0.10817582160234451,0.10817582160234451,0.004431873094290495,3.1419781775184674,5.027165084029548
Straight-Through (annealed),,,,,1,3200,-0.10383583605289459,0.10383583605289459,0.004506475757807493,3.1792104559281142,10.173473458969966
Straight-Through (annealed),,,,,3,200,-1.0376156568527222,1.0376156568527222,0.03341000899672508,3.2358272903366014,0.6471654580673203
Straight-Through (annealed),,,,,3,400,-0.410878449678421,0.410878449678421,0.010098392143845558,3.2230580202303827,1.289223208092153
Straight-Through (annealed),,,,,3,800,-0.16481733322143555,0.16481733322143555,0.0041836900636553764,3.205294478830183,2.5642355830641463
Straight-Through (annealed),,,,,3,1600,-0.07675541192293167,0.07675541192293167,0.0038247567135840654,3.1976916669373168,5.116306667099707
Straight-Through (annealed),,,,,3,3200,-0.0565100833773613,0.0565100833773613,0.0030649013351649046,3.19222070313117,10.215106250019744
Straight-Through (annealed),,,,,2,200,-0.8610254526138306,0.8610254526138306,0.04076318442821503,4.047322294791229,0.8094644589582458
Straight-Through (annealed),,,,,2,400,-0.2186799943447113,0.2186799943447113,0.007801795843988657,3.526283647515811,1.4105134590063244
Straight-Through (annealed),,,,,2,800,-0.13140660524368286,0.13140660524368286,0.005194561555981636,3.243258021248039,2.594606416998431
Straight-Through (annealed),,,,,2,1600,-0.10990608483552933,0.10990608483552933,0.0044486126862466335,3.0944618493231246,4.951138958916999
Straight-Through (annealed),,,,,2,3200,-0.10603438317775726,0.10603438317775726,0.004591441713273525,3.048656666869647,9.75570133398287
Straight-Through (tau=2.0),,,,2.0,3,200,-1.1806118488311768,1.1806118488311768,0.03776324912905693,3.2178512500831857,0.6435702500166371
Straight-Through (tau=2.0),,,,2.0,3,400,-0.4849781095981598,0.4849781095981598,0.012716458179056644,3.2025227075791918,1.2810090830316767
Straight-Through (tau=2.0),,,,2.0,3,800,-0.29022324085235596,0.29022324085235596,0.0064889974892139435,3.1941778649343178,2.555342291947454
Straight-Through (tau=2.0),,,,2.0,3,1600,-0.11216554045677185,0.11216554045677185,0.004104662220925093,3.1571544012695085,5.051447042031214
Straight-Through (tau=2.0),,,,2.0,3,3200,-0.08704669773578644,0.08704669773578644,0.0036516250111162663,3.1629861850160523,10.121555792051367
Straight-Through (tau=2.0),,,,2.0,2,200,-1.2520267963409424,1.2520267963409424,0.05509856715798378,3.2384710403857753,0.647694208077155
Straight-Through (tau=2.0),,,,2.0,2,400,-0.41103217005729675,0.41103217005729675,0.014339843764901161,3.237898542720359,1.2951594170881435
Straight-Through (tau=2.0),,,,2.0,2,800,-0.18885618448257446,0.18885618448257446,0.005893858149647713,3.248876718862448,2.5991013750899583
Straight-Through (tau=2.0),,,,2.0,2,1600,-0.13015657663345337,0.13015657663345337,0.005030921660363674,3.265375312548713,5.2246005000779405
Straight-Through (tau=2.0),,,,2.0,2,3200,-0.11471448093652725,0.11471448093652725,0.004578046966344118,3.2395859765892965,10.366675125085749
Straight-Through (tau=2.0),,,,2.0,1,200,-0.9868971109390259,0.9868971109390259,0.05382886528968811,3.057026044698432,0.6114052089396864
Straight-Through (tau=2.0),,,,2.0,1,400,-0.2988157868385315,0.2988157868385315,0.009526819922029972,3.0737904174020514,1.2295161669608206
Straight-Through (tau=2.0),,,,2.0,1,800,-0.1788998246192932,0.1788998246192932,0.005740037187933922,3.0941461461770814,2.475316916941665
Straight-Through (tau=2.0),,,,2.0,1,1600,-0.1210511177778244,0.1210511177778244,0.004813144914805889,3.0919650262512732,4.947144042002037
Straight-Through (tau=2.0),,,,2.0,1,3200,-0.10933053493499756,0.10933053493499756,0.004756552167236805,3.092551276240556,9.89616408396978
