config,estimator,ablation_group,seed,n_steps,diverged,diverged_at_step,elbo,kl,elbo_mc_stderr,ms_per_step,nfe_per_step,cumulative_train_s,grad_norm_mean,grad_norm_p95,kwarg_MC_samples,kwarg_baseline,kwarg_temperature,kwarg_anneal_rate,kwarg_min_temperature,kwarg_mode,kwarg_ode_steps,kwarg_path,kwarg_ode_solver,kwarg_rtol,kwarg_atol,unstable
Exact Marginalization (MC=1024),marginal_estimator,exact_marg,2,200,False,,-3.765557050704956,3.765557050704956,0.1655576229095459,11.855853539891541,,2.371170707978308,0.5186512813878341,1.2808409929275513,1024,,,,,,,,,,,False
Exact Marginalization (MC=1024),marginal_estimator,exact_marg,2,500,False,,-1.0526167154312134,1.0526167154312134,0.06281538307666779,11.5154154158663,,5.75770770793315,0.5186512813878341,1.2808409929275513,1024,,,,,,,,,,,False
Exact Marginalization (MC=1024),marginal_estimator,exact_marg,2,1000,False,,-0.3632146716117859,0.3632146716117859,0.018925495445728302,11.602795999962837,,11.602795999962837,0.5186512813878341,1.2808409929275513,1024,,,,,,,,,,,False
Exact Marginalization (MC=1024),marginal_estimator,exact_marg,2,2000,False,,-0.1311797946691513,0.1311797946691513,0.006579335778951645,11.692519687465392,,23.385039374930784,0.5186512813878341,1.2808409929275513,1024,,,,,,,,,,,False
Exact Marginalization (MC=1024),marginal_estimator,exact_marg,2,5000,False,,-0.07944479584693909,0.07944479584693909,0.003948656376451254,12.3916495581856,,61.958247790928,0.5186512813878341,1.2808409929275513,1024,,,,,,,,,,,False
Exact Marginalization (MC=1024),marginal_estimator,exact_marg,2,10000,False,,-0.044811297208070755,0.044811297208070755,0.002846603514626622,12.611183824995532,,126.11183824995533,0.5186512813878341,1.2808409929275513,1024,,,,,,,,,,,False
Exact Marginalization (MC=1024),marginal_estimator,exact_marg,1,200,False,,-3.3618807792663574,3.3618807792663574,0.16284631192684174,11.818066670093685,,2.363613334018737,0.5112410620681487,1.284048318862915,1024,,,,,,,,,,,False
Exact Marginalization (MC=1024),marginal_estimator,exact_marg,1,500,False,,-0.9273490905761719,0.9273490905761719,0.05885039269924164,11.480952499900013,,5.740476249950007,0.5112410620681487,1.284048318862915,1024,,,,,,,,,,,False
Exact Marginalization (MC=1024),marginal_estimator,exact_marg,1,1000,False,,-0.3833429515361786,0.3833429515361786,0.02023736760020256,11.595565292052925,,11.595565292052925,0.5112410620681487,1.284048318862915,1024,,,,,,,,,,,False
Exact Marginalization (MC=1024),marginal_estimator,exact_marg,1,2000,False,,-0.13271398842334747,0.13271398842334747,0.006586198695003986,11.707783500023652,,23.415567000047304,0.5112410620681487,1.284048318862915,1024,,,,,,,,,,,False
Exact Marginalization (MC=1024),marginal_estimator,exact_marg,1,5000,False,,-0.046521589159965515,0.046521589159965515,0.003214350203052163,12.333034033398144,,61.66517016699072,0.5112410620681487,1.284048318862915,1024,,,,,,,,,,,False
Exact Marginalization (MC=1024),marginal_estimator,exact_marg,1,10000,False,,-0.039932992309331894,0.039932992309331894,0.002644011052325368,12.632023533398751,,126.32023533398751,0.5112410620681487,1.284048318862915,1024,,,,,,,,,,,False
Exact Marginalization (MC=1024),marginal_estimator,exact_marg,4,200,False,,-2.819035530090332,2.819035530090332,0.09699807316064835,11.871461665141396,,2.3742923330282792,0.3962135973907303,0.9236191511154175,1024,,,,,,,,,,,False
Exact Marginalization (MC=1024),marginal_estimator,exact_marg,4,500,False,,-0.6981860399246216,0.6981860399246216,0.0457073450088501,11.481972750043496,,5.740986375021748,0.3962135973907303,0.9236191511154175,1024,,,,,,,,,,,False
Exact Marginalization (MC=1024),marginal_estimator,exact_marg,4,1000,False,,-0.2723243534564972,0.2723243534564972,0.013769624754786491,11.592640790971927,,11.592640790971927,0.3962135973907303,0.9236191511154175,1024,,,,,,,,,,,False
Exact Marginalization (MC=1024),marginal_estimator,exact_marg,4,2000,False,,-0.21455229818820953,0.21455229818820953,0.007709546014666557,11.694857000024058,,23.389714000048116,0.3962135973907303,0.9236191511154175,1024,,,,,,,,,,,False
Exact Marginalization (MC=1024),marginal_estimator,exact_marg,4,5000,False,,-0.07133307307958603,0.07133307307958603,0.005218194331973791,12.221767383208498,,61.10883691604249,0.3962135973907303,0.9236191511154175,1024,,,,,,,,,,,False
Exact Marginalization (MC=1024),marginal_estimator,exact_marg,4,10000,False,,-0.032647497951984406,0.032647497951984406,0.002300430089235306,12.536081099999137,,125.36081099999137,0.3962135973907303,0.9236191511154175,1024,,,,,,,,,,,False
Exact Marginalization (MC=1024),marginal_estimator,exact_marg,3,200,False,,-2.09269380569458,2.09269380569458,0.06698008626699448,12.00226292014122,,2.400452584028244,0.3211612054563551,0.641964316368103,1024,,,,,,,,,,,False
Exact Marginalization (MC=1024),marginal_estimator,exact_marg,3,500,False,,-0.6428160071372986,0.6428160071372986,0.02367418073117733,11.674043833976611,,5.837021916988306,0.3211612054563551,0.641964316368103,1024,,,,,,,,,,,False
Exact Marginalization (MC=1024),marginal_estimator,exact_marg,3,1000,False,,-0.35580605268478394,0.35580605268478394,0.017265746369957924,11.796625916962512,,11.796625916962512,0.3211612054563551,0.641964316368103,1024,,,,,,,,,,,False
Exact Marginalization (MC=1024),marginal_estimator,exact_marg,3,2000,False,,-0.19739025831222534,0.19739025831222534,0.00721525214612484,11.873467083496507,,23.746934166993015,0.3211612054563551,0.641964316368103,1024,,,,,,,,,,,False
